Size,Dirt Rate,Performance,Time
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.1,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.2,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.4,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
2x2,0.8,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.1,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.2,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.4,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
4x4,0.8,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.1,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.2,1.0,1000
8x8,0.4,0.9609375,1000
8x8,0.4,1.0,1000
8x8,0.4,1.0,1000
8x8,0.4,1.0,1000
8x8,0.4,1.0,1000
8x8,0.4,1.0,1000
8x8,0.4,1.0,1000
8x8,0.4,1.0,1000
8x8,0.4,1.0,1000
8x8,0.4,1.0,1000
8x8,0.8,1.0,1000
8x8,0.8,1.0,1000
8x8,0.8,1.0,1000
8x8,0.8,1.0,1000
8x8,0.8,1.0,1000
8x8,0.8,0.98046875,1000
8x8,0.8,1.0,1000
8x8,0.8,1.0,1000
8x8,0.8,0.98046875,1000
8x8,0.8,1.0,1000
16x16,0.1,0.765625,1000
16x16,0.1,0.8046875,1000
16x16,0.1,0.6875,1000
16x16,0.1,0.8828125,1000
16x16,0.1,0.8046875,1000
16x16,0.1,0.53125,1000
16x16,0.1,0.765625,1000
16x16,0.1,0.6875,1000
16x16,0.1,0.6875,1000
16x16,0.1,0.9609375,1000
