algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
bfs,0,38,14,14,9.34600830078125e-05,True
bfs,1,36,0,0,7.081031799316406e-05,False
bfs,2,13,0,0,2.5033950805664062e-05,False
bfs,3,45,0,0,9.560585021972656e-05,False
bfs,4,20,7,7,4.553794860839844e-05,True
bfs,5,1,0,0,3.337860107421875e-06,False
bfs,6,35,8,8,6.723403930664062e-05,True
bfs,7,25,0,0,4.7206878662109375e-05,False
bfs,8,48,9,9,9.226799011230469e-05,True
bfs,9,2,0,0,4.5299530029296875e-06,False
bfs,10,7,0,0,1.3113021850585938e-05,False
bfs,11,28,10,10,5.1975250244140625e-05,True
bfs,12,34,12,12,6.508827209472656e-05,True
bfs,13,21,5,5,4.172325134277344e-05,True
bfs,14,44,12,12,8.225440979003906e-05,True
bfs,15,46,12,12,8.845329284667969e-05,True
bfs,16,50,13,13,9.369850158691406e-05,True
bfs,17,29,0,0,5.3882598876953125e-05,False
bfs,18,43,12,12,8.106231689453125e-05,True
bfs,19,36,0,0,7.009506225585938e-05,False
bfs,20,41,13,13,7.557868957519531e-05,True
bfs,21,11,4,4,2.1696090698242188e-05,True
bfs,22,36,0,0,6.67572021484375e-05,False
bfs,23,37,10,10,6.67572021484375e-05,True
bfs,24,37,0,0,6.747245788574219e-05,False
bfs,25,6,3,3,1.1920928955078125e-05,True
bfs,26,23,5,5,4.553794860839844e-05,True
bfs,27,27,0,0,5.1021575927734375e-05,False
bfs,28,15,4,4,3.0279159545898438e-05,True
bfs,29,7,0,0,1.4066696166992188e-05,False
dfs,0,30,18,18,5.936622619628906e-05,True
dfs,1,36,0,0,6.580352783203125e-05,False
dfs,2,13,0,0,2.3126602172851562e-05,False
dfs,3,45,0,0,8.368492126464844e-05,False
dfs,4,26,15,15,4.887580871582031e-05,True
dfs,5,1,0,0,2.86102294921875e-06,False
dfs,6,8,8,8,1.621246337890625e-05,True
dfs,7,25,0,0,4.506111145019531e-05,False
dfs,8,11,11,11,2.1457672119140625e-05,True
dfs,9,2,0,0,4.0531158447265625e-06,False
dfs,10,7,0,0,1.239776611328125e-05,False
dfs,11,27,18,18,4.9114227294921875e-05,True
dfs,12,17,12,12,3.170967102050781e-05,True
dfs,13,11,11,11,2.1219253540039062e-05,True
dfs,14,28,24,24,5.078315734863281e-05,True
dfs,15,20,20,20,4.506111145019531e-05,True
dfs,16,15,15,15,2.8848648071289062e-05,True
dfs,17,29,0,0,5.125999450683594e-05,False
dfs,18,31,14,14,5.817413330078125e-05,True
dfs,19,36,0,0,6.628036499023438e-05,False
dfs,20,17,17,17,3.314018249511719e-05,True
dfs,21,4,4,4,7.867813110351562e-06,True
dfs,22,36,0,0,6.508827209472656e-05,False
dfs,23,17,16,16,3.123283386230469e-05,True
dfs,24,37,0,0,6.651878356933594e-05,False
dfs,25,47,3,3,8.797645568847656e-05,True
dfs,26,32,5,5,5.984306335449219e-05,True
dfs,27,27,0,0,5.030632019042969e-05,False
dfs,28,4,4,4,8.344650268554688e-06,True
dfs,29,7,0,0,1.33514404296875e-05,False
dls,0,25,0,0,4.6253204345703125e-05,False
dls,1,28,0,0,4.4345855712890625e-05,False
dls,2,13,0,0,2.3365020751953125e-05,False
dls,3,32,0,0,5.1021575927734375e-05,False
dls,4,29,7,7,4.649162292480469e-05,True
dls,5,1,0,0,2.6226043701171875e-06,False
dls,6,8,8,8,1.6450881958007812e-05,True
dls,7,24,0,0,4.744529724121094e-05,False
dls,8,11,11,11,2.1696090698242188e-05,True
dls,9,2,0,0,4.76837158203125e-06,False
dls,10,7,0,0,1.2874603271484375e-05,False
dls,11,14,12,12,2.47955322265625e-05,True
dls,12,17,12,12,3.266334533691406e-05,True
dls,13,11,11,11,2.1219253540039062e-05,True
dls,14,24,0,0,3.695487976074219e-05,False
dls,15,35,0,0,5.3882598876953125e-05,False
dls,16,41,0,0,6.151199340820312e-05,False
dls,17,18,0,0,2.956390380859375e-05,False
dls,18,39,0,0,6.079673767089844e-05,False
dls,19,25,0,0,3.933906555175781e-05,False
dls,20,31,0,0,4.863739013671875e-05,False
dls,21,4,4,4,8.344650268554688e-06,True
dls,22,33,0,0,5.221366882324219e-05,False
dls,23,24,0,0,3.886222839355469e-05,False
dls,24,25,0,0,3.933906555175781e-05,False
dls,25,27,3,3,4.029273986816406e-05,True
dls,26,15,5,5,2.4557113647460938e-05,True
dls,27,18,0,0,2.86102294921875e-05,False
dls,28,4,4,4,8.106231689453125e-06,True
dls,29,7,0,0,1.3113021850585938e-05,False
ucs1,0,39,14,13,0.0003936290740966797,True
ucs1,1,36,0,0,0.00030732154846191406,False
ucs1,2,13,0,0,9.799003601074219e-05,False
ucs1,3,45,0,0,0.0004124641418457031,False
ucs1,4,22,7,6,0.0001895427703857422,True
ucs1,5,1,0,0,1.3589859008789062e-05,False
ucs1,6,36,8,7,0.00030159950256347656,True
ucs1,7,25,0,0,0.00019550323486328125,False
ucs1,8,48,9,8,0.00042510032653808594,True
ucs1,9,2,0,0,2.0503997802734375e-05,False
ucs1,10,7,0,0,5.650520324707031e-05,False
ucs1,11,30,10,9,0.00024580955505371094,True
ucs1,12,38,12,11,0.0003275871276855469,True
ucs1,13,21,5,4,0.00020456314086914062,True
ucs1,14,45,12,11,0.000377655029296875,True
ucs1,15,46,12,11,0.0003974437713623047,True
ucs1,16,50,13,12,0.0004303455352783203,True
ucs1,17,29,0,0,0.00021028518676757812,False
ucs1,18,43,12,11,0.00036978721618652344,True
ucs1,19,36,0,0,0.00031828880310058594,False
ucs1,20,42,13,12,0.0003466606140136719,True
ucs1,21,12,4,3,0.00010561943054199219,True
ucs1,22,36,0,0,0.00029087066650390625,False
ucs1,23,38,10,9,0.00030517578125,True
ucs1,24,37,0,0,0.00029397010803222656,False
ucs1,25,7,3,2,6.198883056640625e-05,True
ucs1,26,23,5,4,0.0002162456512451172,True
ucs1,27,27,0,0,0.0002307891845703125,False
ucs1,28,16,4,3,0.00016379356384277344,True
ucs1,29,7,0,0,5.5789947509765625e-05,False
ucs2,0,42,14,44,0.0004565715789794922,True
ucs2,1,36,0,0,0.0003788471221923828,False
ucs2,2,13,0,0,0.00012135505676269531,False
ucs2,3,45,0,0,0.0004935264587402344,False
ucs2,4,28,7,18,0.00030732154846191406,True
ucs2,5,1,0,0,1.5735626220703125e-05,False
ucs2,6,37,8,25,0.0003719329833984375,True
ucs2,7,25,0,0,0.00024366378784179688,False
ucs2,8,49,9,29,0.0005309581756591797,True
ucs2,9,2,0,0,2.4080276489257812e-05,False
ucs2,10,7,0,0,7.05718994140625e-05,False
ucs2,11,32,10,31,0.00032830238342285156,True
ucs2,12,45,12,40,0.00048732757568359375,True
ucs2,13,22,5,13,0.0002536773681640625,True
ucs2,14,45,12,37,0.0004661083221435547,True
ucs2,15,46,12,38,0.0005035400390625,True
ucs2,16,50,13,43,0.0006341934204101562,True
ucs2,17,29,0,0,0.0002684593200683594,False
ucs2,18,43,12,37,0.0004565715789794922,True
ucs2,19,36,0,0,0.000392913818359375,False
ucs2,20,42,13,41,0.0004241466522216797,True
ucs2,21,23,4,11,0.00024175643920898438,True
ucs2,22,36,0,0,0.0003724098205566406,False
ucs2,23,38,10,31,0.0003676414489746094,True
ucs2,24,37,0,0,0.00036835670471191406,False
ucs2,25,15,3,6,0.00017452239990234375,True
ucs2,26,32,5,14,0.0003571510314941406,True
ucs2,27,27,0,0,0.0002765655517578125,False
ucs2,28,36,4,11,0.00041985511779785156,True
ucs2,29,7,0,0,7.2479248046875e-05,False
rand,0,37,0,0,0.00011467933654785156,False
rand,1,29,0,0,9.822845458984375e-05,False
rand,2,9,13,13,1.5020370483398438e-05,True
rand,3,28,0,0,9.918212890625e-05,False
rand,4,36,0,0,9.72747802734375e-05,False
rand,5,32,0,0,9.632110595703125e-05,False
rand,6,38,0,0,9.489059448242188e-05,False
rand,7,31,0,0,0.00010323524475097656,False
rand,8,25,0,0,9.775161743164062e-05,False
rand,9,38,57,57,6.079673767089844e-05,True
rand,10,22,0,0,9.822845458984375e-05,False
rand,11,26,0,0,9.512901306152344e-05,False
rand,12,32,70,70,7.319450378417969e-05,True
rand,13,37,0,0,9.608268737792969e-05,False
rand,14,27,0,0,9.131431579589844e-05,False
rand,15,35,0,0,9.465217590332031e-05,False
rand,16,30,0,0,9.751319885253906e-05,False
rand,17,29,0,0,0.00010037422180175781,False
rand,18,31,72,72,7.581710815429688e-05,True
rand,19,33,0,0,9.441375732421875e-05,False
rand,20,15,25,25,2.956390380859375e-05,True
rand,21,17,0,0,9.369850158691406e-05,False
rand,22,24,36,36,3.528594970703125e-05,True
rand,23,32,80,80,8.153915405273438e-05,True
rand,24,15,22,22,2.3126602172851562e-05,True
rand,25,35,0,0,9.5367431640625e-05,False
rand,26,25,67,67,7.033348083496094e-05,True
rand,27,8,9,9,9.298324584960938e-06,True
rand,28,39,0,0,9.655952453613281e-05,False
rand,29,35,77,77,7.963180541992188e-05,True
