algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
bfs,0,14,5,5,4.744529724121094e-05,True
bfs,1,34,13,13,6.699562072753906e-05,True
bfs,2,23,5,5,4.744529724121094e-05,True
bfs,3,45,12,12,8.130073547363281e-05,True
bfs,4,17,0,0,3.147125244140625e-05,False
bfs,5,38,9,9,6.747245788574219e-05,True
bfs,6,35,12,12,6.365776062011719e-05,True
bfs,7,5,3,3,9.059906005859375e-06,True
bfs,8,3,2,2,5.7220458984375e-06,True
bfs,9,16,5,5,2.956390380859375e-05,True
bfs,10,46,0,0,8.463859558105469e-05,False
bfs,11,8,0,0,1.4781951904296875e-05,False
bfs,12,32,13,13,5.9604644775390625e-05,True
bfs,13,8,3,3,1.4543533325195312e-05,True
bfs,14,4,0,0,7.867813110351562e-06,False
bfs,15,46,18,18,9.202957153320312e-05,True
bfs,16,34,11,11,6.270408630371094e-05,True
bfs,17,3,2,2,5.9604644775390625e-06,True
bfs,18,31,0,0,5.555152893066406e-05,False
bfs,19,41,13,13,7.43865966796875e-05,True
bfs,20,24,6,6,4.482269287109375e-05,True
bfs,21,36,6,6,6.818771362304688e-05,True
bfs,22,36,10,10,6.628036499023438e-05,True
bfs,23,6,3,3,1.1205673217773438e-05,True
bfs,24,24,7,7,4.315376281738281e-05,True
bfs,25,1,0,0,2.86102294921875e-06,False
bfs,26,47,9,9,8.678436279296875e-05,True
bfs,27,45,14,14,7.891654968261719e-05,True
bfs,28,17,7,7,3.0517578125e-05,True
bfs,29,37,9,9,6.604194641113281e-05,True
dfs,0,29,7,7,5.91278076171875e-05,True
dfs,1,31,29,29,5.626678466796875e-05,True
dfs,2,11,11,11,2.0265579223632812e-05,True
dfs,3,18,18,18,3.3855438232421875e-05,True
dfs,4,17,0,0,2.9802322387695312e-05,False
dfs,5,11,11,11,2.765655517578125e-05,True
dfs,6,26,22,22,4.7206878662109375e-05,True
dfs,7,3,3,3,5.245208740234375e-06,True
dfs,8,6,6,6,1.1444091796875e-05,True
dfs,9,5,5,5,8.58306884765625e-06,True
dfs,10,46,0,0,8.296966552734375e-05,False
dfs,11,8,0,0,1.430511474609375e-05,False
dfs,12,29,25,25,5.0067901611328125e-05,True
dfs,13,3,3,3,5.4836273193359375e-06,True
dfs,14,4,0,0,7.867813110351562e-06,False
dfs,15,33,24,24,5.745887756347656e-05,True
dfs,16,29,21,21,5.1021575927734375e-05,True
dfs,17,2,2,2,3.814697265625e-06,True
dfs,18,31,0,0,5.364418029785156e-05,False
dfs,19,26,25,25,4.76837158203125e-05,True
dfs,20,22,18,18,4.0531158447265625e-05,True
dfs,21,10,8,8,1.7404556274414062e-05,True
dfs,22,17,14,14,3.123283386230469e-05,True
dfs,23,3,3,3,5.0067901611328125e-06,True
dfs,24,13,13,13,2.4318695068359375e-05,True
dfs,25,1,0,0,2.6226043701171875e-06,False
dfs,26,11,11,11,2.0742416381835938e-05,True
dfs,27,42,18,18,7.271766662597656e-05,True
dfs,28,30,19,19,5.2928924560546875e-05,True
dfs,29,26,17,17,4.6253204345703125e-05,True
dls,0,16,7,7,3.218650817871094e-05,True
dls,1,18,0,0,3.123283386230469e-05,False
dls,2,11,11,11,2.0503997802734375e-05,True
dls,3,36,0,0,6.747245788574219e-05,False
dls,4,17,0,0,2.9802322387695312e-05,False
dls,5,11,11,11,2.1457672119140625e-05,True
dls,6,20,0,0,3.218650817871094e-05,False
dls,7,3,3,3,5.245208740234375e-06,True
dls,8,6,6,6,1.1920928955078125e-05,True
dls,9,5,5,5,8.821487426757812e-06,True
dls,10,37,0,0,5.5789947509765625e-05,False
dls,11,8,0,0,1.4543533325195312e-05,False
dls,12,31,0,0,5.221366882324219e-05,False
dls,13,3,3,3,5.9604644775390625e-06,True
dls,14,4,0,0,8.344650268554688e-06,False
dls,15,23,0,0,3.5762786865234375e-05,False
dls,16,15,0,0,2.4557113647460938e-05,False
dls,17,2,2,2,4.0531158447265625e-06,True
dls,18,21,0,0,3.457069396972656e-05,False
dls,19,26,0,0,3.886222839355469e-05,False
dls,20,36,10,10,5.9604644775390625e-05,True
dls,21,10,8,8,1.7881393432617188e-05,True
dls,22,14,12,12,2.574920654296875e-05,True
dls,23,3,3,3,5.245208740234375e-06,True
dls,24,33,0,0,5.459785461425781e-05,False
dls,25,1,0,0,2.6226043701171875e-06,False
dls,26,11,11,11,2.1696090698242188e-05,True
dls,27,37,0,0,5.650520324707031e-05,False
dls,28,25,11,11,3.814697265625e-05,True
dls,29,28,0,0,4.6253204345703125e-05,False
ucs1,0,15,5,4,0.00019788742065429688,True
ucs1,1,34,13,12,0.0003046989440917969,True
ucs1,2,23,5,4,0.00021195411682128906,True
ucs1,3,46,12,11,0.0003802776336669922,True
ucs1,4,17,0,0,0.00014591217041015625,False
ucs1,5,38,9,8,0.0003147125244140625,True
ucs1,6,35,12,11,0.0002999305725097656,True
ucs1,7,5,3,2,4.38690185546875e-05,True
ucs1,8,4,2,1,4.3392181396484375e-05,True
ucs1,9,16,5,4,0.00014472007751464844,True
ucs1,10,46,0,0,0.0004112720489501953,False
ucs1,11,8,0,0,6.532669067382812e-05,False
ucs1,12,33,13,12,0.00028252601623535156,True
ucs1,13,8,3,2,7.486343383789062e-05,True
ucs1,14,4,0,0,3.409385681152344e-05,False
ucs1,15,47,18,17,0.0004105567932128906,True
ucs1,16,34,11,10,0.0002899169921875,True
ucs1,17,3,2,1,2.7894973754882812e-05,True
ucs1,18,31,0,0,0.000240325927734375,False
ucs1,19,42,13,12,0.000377655029296875,True
ucs1,20,25,6,5,0.00021505355834960938,True
ucs1,21,36,6,5,0.0003380775451660156,True
ucs1,22,37,10,9,0.0003249645233154297,True
ucs1,23,6,3,2,5.459785461425781e-05,True
ucs1,24,25,7,6,0.00021195411682128906,True
ucs1,25,1,0,0,1.3589859008789062e-05,False
ucs1,26,47,9,8,0.0004429817199707031,True
ucs1,27,45,14,13,0.0003650188446044922,True
ucs1,28,21,7,6,0.00019097328186035156,True
ucs1,29,37,9,8,0.00032591819763183594,True
ucs2,0,29,5,14,0.0003650188446044922,True
ucs2,1,34,13,41,0.00036835670471191406,True
ucs2,2,40,5,14,0.0004124641418457031,True
ucs2,3,46,12,40,0.00047779083251953125,True
ucs2,4,17,0,0,0.00017142295837402344,False
ucs2,5,43,9,30,0.0004334449768066406,True
ucs2,6,35,12,33,0.00037550926208496094,True
ucs2,7,11,3,6,0.00011277198791503906,True
ucs2,8,7,2,3,8.702278137207031e-05,True
ucs2,9,26,5,16,0.00026488304138183594,True
ucs2,10,46,0,0,0.0005125999450683594,False
ucs2,11,8,0,0,8.20159912109375e-05,False
ucs2,12,33,13,39,0.0003452301025390625,True
ucs2,13,9,3,8,9.608268737792969e-05,True
ucs2,14,4,0,0,4.029273986816406e-05,False
ucs2,15,47,18,51,0.0004994869232177734,True
ucs2,16,34,11,34,0.0003592967987060547,True
ucs2,17,5,2,3,5.4836273193359375e-05,True
ucs2,18,31,0,0,0.00031566619873046875,False
ucs2,19,46,13,38,0.00048828125,True
ucs2,20,35,6,16,0.0003714561462402344,True
ucs2,21,40,6,18,0.0004405975341796875,True
ucs2,22,37,10,29,0.0003921985626220703,True
ucs2,23,13,3,6,0.00014638900756835938,True
ucs2,24,35,7,22,0.000354766845703125,True
ucs2,25,1,0,0,1.5974044799804688e-05,False
ucs2,26,48,9,29,0.0005490779876708984,True
ucs2,27,45,14,46,0.00045680999755859375,True
ucs2,28,23,7,18,0.0002589225769042969,True
ucs2,29,37,9,27,0.0004086494445800781,True
rand,0,32,0,0,0.00011587142944335938,False
rand,1,28,0,0,9.751319885253906e-05,False
rand,2,36,75,75,7.867813110351562e-05,True
rand,3,30,0,0,9.918212890625e-05,False
rand,4,35,0,0,9.584426879882812e-05,False
rand,5,38,0,0,9.202957153320312e-05,False
rand,6,42,0,0,9.441375732421875e-05,False
rand,7,33,0,0,9.489059448242188e-05,False
rand,8,37,0,0,0.00010371208190917969,False
rand,9,39,0,0,9.560585021972656e-05,False
rand,10,43,0,0,9.441375732421875e-05,False
rand,11,30,0,0,9.465217590332031e-05,False
rand,12,37,0,0,9.34600830078125e-05,False
rand,13,14,17,17,1.71661376953125e-05,True
rand,14,43,0,0,9.250640869140625e-05,False
rand,15,27,0,0,9.608268737792969e-05,False
rand,16,22,0,0,9.751319885253906e-05,False
rand,17,2,2,2,3.337860107421875e-06,True
rand,18,28,0,0,9.679794311523438e-05,False
rand,19,18,0,0,9.489059448242188e-05,False
rand,20,18,64,64,7.963180541992188e-05,True
rand,21,28,62,62,6.318092346191406e-05,True
rand,22,35,0,0,9.703636169433594e-05,False
rand,23,29,77,77,8.153915405273438e-05,True
rand,24,11,33,33,3.600120544433594e-05,True
rand,25,5,5,5,8.821487426757812e-06,True
rand,26,44,0,0,9.751319885253906e-05,False
rand,27,25,0,0,9.393692016601562e-05,False
rand,28,43,0,0,9.369850158691406e-05,False
rand,29,35,0,0,9.72747802734375e-05,False
a_star,0,14,5,5,0.000213623046875,True
a_star,1,33,13,13,0.00041365623474121094,True
a_star,2,21,5,5,0.00026798248291015625,True
a_star,3,44,12,12,0.0005056858062744141,True
a_star,4,17,0,0,0.0001823902130126953,False
a_star,5,39,9,9,0.00043082237243652344,True
a_star,6,34,12,12,0.000400543212890625,True
a_star,7,4,3,3,5.507469177246094e-05,True
a_star,8,2,2,2,3.790855407714844e-05,True
a_star,9,17,5,5,0.0002071857452392578,True
a_star,10,46,0,0,0.0005474090576171875,False
a_star,11,8,0,0,8.463859558105469e-05,False
a_star,12,31,13,13,0.0003559589385986328,True
a_star,13,7,3,3,9.298324584960938e-05,True
a_star,14,4,0,0,4.267692565917969e-05,False
a_star,15,46,18,18,0.0005376338958740234,True
a_star,16,33,11,11,0.0003788471221923828,True
a_star,17,2,2,2,3.2901763916015625e-05,True
a_star,18,31,0,0,0.0003211498260498047,False
a_star,19,40,13,13,0.0004780292510986328,True
a_star,20,20,6,6,0.00023937225341796875,True
a_star,21,34,6,6,0.0004394054412841797,True
a_star,22,36,10,10,0.0004124641418457031,True
a_star,23,4,3,3,5.650520324707031e-05,True
a_star,24,24,7,7,0.00027680397033691406,True
