algorithm_name,size,solution,generations,time,conflicts
hill_climbing,4,"[1, 2, 0, 3]",24,5.602836608886719e-05,1
simulated_annealing,4,"[2, 0, 3, 1]",91,0.0009596347808837891,0
genetic,4,"[2, 0, 3, 1]",1,0.0,0
genetic2,4,"[2, 0, 3, 1]",2,0.03667116165161133,0
hill_climbing,4,"[0, 3, 1, 2]",36,7.653236389160156e-05,1
simulated_annealing,4,"[2, 0, 3, 1]",19,0.00020933151245117188,0
genetic,4,"[1, 3, 0, 2]",1,0.0,0
genetic2,4,"[2, 0, 3, 1]",25,0.3165442943572998,0
hill_climbing,4,"[2, 1, 3, 0]",36,7.581710815429688e-05,1
simulated_annealing,4,"[1, 3, 0, 2]",9,0.00010251998901367188,0
genetic,4,"[2, 0, 3, 1]",2,0.024445533752441406,0
genetic2,4,"[1, 3, 0, 2]",5,0.07308697700500488,0
hill_climbing,4,"[1, 3, 0, 2]",60,0.00011968612670898438,0
simulated_annealing,4,"[2, 0, 3, 1]",39,0.0004153251647949219,0
genetic,4,"[2, 0, 3, 1]",1,0.011964082717895508,0
genetic2,4,"[2, 0, 3, 1]",2,0.036498308181762695,0
hill_climbing,4,"[2, 1, 3, 0]",24,5.054473876953125e-05,1
simulated_annealing,4,"[1, 3, 0, 2]",22,0.00023603439331054688,0
genetic,4,"[2, 0, 3, 1]",1,0.0,0
genetic2,4,"[1, 3, 0, 2]",23,0.29850268363952637,0
hill_climbing,4,"[1, 3, 0, 2]",36,8.249282836914062e-05,0
simulated_annealing,4,"[2, 0, 3, 1]",21,0.00023126602172851562,0
genetic,4,"[2, 0, 3, 1]",1,0.0,0
genetic2,4,"[2, 0, 3, 1]",2,0.036713600158691406,0
hill_climbing,4,"[3, 0, 2, 1]",24,5.054473876953125e-05,1
simulated_annealing,4,"[1, 3, 0, 2]",23,0.0002465248107910156,0
genetic,4,"[1, 3, 0, 2]",1,0.0,0
genetic2,4,"[1, 3, 0, 2]",1,0.02440166473388672,0
hill_climbing,4,"[0, 2, 3, 1]",24,5.054473876953125e-05,1
simulated_annealing,4,"[2, 0, 3, 1]",31,0.0003352165222167969,0
genetic,4,"[1, 3, 0, 2]",4,0.04939413070678711,0
genetic2,4,"[1, 3, 0, 2]",3,0.0488581657409668,0
hill_climbing,4,"[2, 0, 3, 1]",48,9.608268737792969e-05,0
simulated_annealing,4,"[2, 0, 3, 1]",13,0.00014281272888183594,0
genetic,4,"[1, 3, 0, 2]",1,0.011952877044677734,0
genetic2,4,"[2, 0, 3, 1]",3,0.04877614974975586,0
hill_climbing,4,"[0, 2, 3, 1]",36,7.43865966796875e-05,1
simulated_annealing,4,"[1, 3, 0, 2]",73,0.0007781982421875,0
genetic,4,"[1, 3, 0, 2]",1,0.0,0
